"","Title","Date","User","Body","Rating","Show"
"93","Just scan the headlines",2018-10-19,"mmr424","This showa manages to be both.superficial and grating. I cannot stand listening to Mara Liasson.",2,"Politics"
"94","Meh",2018-10-19,"Evertoseer","A good starter podcast for the politically uninitiated, but a strong establishment bias. While they acknowledge the division of the country, they don’t dive deep and explore the frustration people now have with establishment candidates. They overwhelmingly write off progressive candidates despite the fact that those platforms are becoming increasingly popular, particularly with millennials. The fact that some of these races are so close deserves closer analysis rather than insisting those new candidates cannot win. Same can be said for more right wing new candidates who are popular in some areas.",3,"Politics"
"95","Boring liberals pretending to be moderates",2018-10-21,"SureJetPilot","Typical liberal spewings",1,"Politics"
"96","Extremely biased",2018-10-24,"xfredutr","Poor podcast if you want unbiased info. Absolutely nothing positive about GOP. They spin all stories the same direction. If this was the only news source, we would all believe the world is ending because Republicans exist. The only podcast where the ads are more truthful than the reporting!",1,"Politics"
"97","Too liberal",2018-10-24,"Tri_power","Pretty good content but too liberal for me. Still searching for a an good independent option..",1,"Politics"
"98","I hate politics, and this podcast doesn’t help.",2018-10-30,"Captain pica","I listen to the NPR One app while I exercise every morning. This podcast is in my rotation, but I’m not sure I like it. Most of the cast sounds young, so maybe that is they rely on statistics instead of experience or intuition, but this podcast operates under the assumption that ALL OF AMERICA is either a democrat or a republican. They almost never mention independent voters, and when they do they assume there aren’t enough of us to make a difference. Aside from Mara, I don’t have respect for any of them.",3,"Politics"
"99","Love it!",2018-11-01,"larzie314","I love this podcast. I think Tam does a great job of hosting, and I also like Domenico and Ron Elving. Sometimes Mara can get a little biased, but I love the balance between informality and info. The time stamps and can’t let it go keep it light during pretty depressing news sometimes.",5,"Politics"
"100","The lack of fact checking borders on journalistic malpractice",2018-11-02,"DRiveraG","After being a devote listener for almost 3 years (since the podcast started), today I sadly unsubscribed. The lack of fact checking of claims made by politicians on both sides of the isle in this podcast is serious malpractice. The one that made me re-establish my Apple ID (I listen on Android, but I know they only care for reviews here) just to write this review was coming from the president, but they do the same with democrats all the time.",1,"Politics"
"101","11/1 racist wrap up",2018-11-02,"moonbeam ranch","I was really disturbed by the arrogant and racists commentary. The anti-white identity politics ideology promoted here not only missed the mark in trying to highlight the root of society’s major malfunction of today but it also is divisive and is the real issue you are struggling to explain. Please re-evaluate the sewage you broadcast I enjoy listening to broad spectrum ideas this was tunnel vision down a racist rabbit hole. Do BETTER!",1,"Politics"
"102","Ok content, heavy bias",2018-11-02,"Lem Kenada","Definitely leans center left. This pod is ok but lacking in genuinely interesting perspectives. Maria has great insight, but talks over and interrupts the other hosts constantly. Feels like it tries to appeal to the young and old listeners together, but poorly executes that mission. I still listen just to get any nuggets of info not found on other political pods.",3,"Politics"
"103","Not exactly NPR's best.",2018-11-04,"Oddballgamee","I gave a couple of these a try and it doesn't feel like the thoughtful, objective, and analytical coverage that say ""On Point"" does. This show seems more like an opinionated round table for novice journals.",1,"Politics"
"104","I love NPR Politics!",2018-11-05,"ry3688","I love this podcast - I listen to every episode! Thank you all for your work in putting these episodes together! ❤️💙",5,"Politics"
"105","NPR - Never Promote Republican?",2018-11-06,"weeper123","I started listening to this podcast during the presidential debates and really appreciated the information about all the candidates and the politics surrounding them. However, as the pod has progressed and, of course, Trump has become the president, the negativity toward the “right” or “republican” or “conservative” has just become too much. Instead of just reporting, it has become a backhanded way of bashing what you, as reporters do not support. I understand that everyone has an opinion and is entitled to it, but as a news agency shouldn’t bias be left to op eds?",2,"Politics"
"106","Too far left",2018-11-06,"Lawyer Scott","This is too far left leaning for me. The program contains no thoughtful commentary, just standard left leaning opinions devoid of factual support.",1,"Politics"
"107","Thank you!",2018-11-07,"JaneLaBass","My name is Jane and I am 28 years old and I’ve always tried and failed to be politically in the know. This podcast has been so helpful for me. I listen to it so much I feel like Asma, Dominick, tamera, Ayesha, all the Scotts, and the effervescent Mara liason are my friends (omg of course ron as well). They are funny, smart, empathetic people who do some incredible reporting. I can’t describe how nice it is to not have to be sucked into the trump void everyday and instead listen to this group of wonderful people. This podcast keeps me informed in the kind of language that makes sense to me. Thanks guys, keep up the good work.",5,"Politics"
"108","Love this podcast",2018-11-07,"JC from SC","This is a group of smart, thoughtful journalists. It’s my go-to source for political news, and we usually enjoy a few laughs along the way, too.",5,"Politics"
"109","Falls flat on sharing any relevant and new information.",2018-11-07,"CFE Follower","I actually initially gave this podcast 5 stars after listening to the first episode. My second episode was the midterm recap and man did it fall flat. It was an absolute waste of my time. The analysis could have been given by someone who caught just a few minutes of the morning news before breaking it down. There were relatively no surprises in the midterms. They were just what we thought, republicans pick up seats in the senate, democrats take control of the house but to hear their analysis you would think that the results were mind blowing for democrats. I found it very underwhelming and uneducating.",1,"Politics"
