Title,Date,User,Body,Rating
Best journalism in the US today on cross culture,08/30/2018,Hybridan,"Amazing journalism. Just listen. Perhaps start with the 4 part serious on Ron Brown college Prep. First episode is "" A year of love and struggle""",5
Code Switch,09/03/2018,CLC Prof,"Demby, Meraji, and the other reporters exhibit great rapport and witty conversations while teaching listeners a lot about important racial issues.",5
CodeSwitch binge,09/03/2018,Pi'ilaniJR,"How is it that this podcast has been out for two years and I am just discovering it? I love podcasts, I have guest hosted on podcasts, and I’m the Director of Diversity for a global corporation but I just found “CodeSwitch”!!",5
Top Five Podcast - Incisive and Insightful,09/10/2018,trdollar77,"Gene Demby and Shareen Marisol Miraji do an excellent job of bring to the forefront current and past histories, both social and personal, that directly confront racism in the US and elsewhere. They create incredible dialog that is thought provoking, informative, and that make warm and break hearts. Beyond being entertaining, it's a great 25-35 minutes every week that expand my perspective on how the world operates for people of different backgrounds and how people have to navigate the world built around them, one in which the do not have input.",5
Love this!,09/12/2018,GinaS11582,"A poignant, always new look at how race plays into daily life, in big ways and small. A must listen for the “woke” and not so woke especially! This white girl has learned a lot.",5
Trash,09/25/2018,bronsexual21,It’s not good I’m only listening because I am being forced to don’t waste your time with it.,1
Gene & Shereen are amazing,10/06/2018,Husl2014,"I’m always impressed by thoughtful treatment of complex issues, the humor, and the intelligence that these two offer. Because they bring on scholars and experts, I feel like I’m being informed, this is the true form of journalism. Often when people talk about race they try so hard to be “neutral” that they end up being dishonest about the realities of race in this country. I also love the “what’s bringing you life” music at the end of each episode, I’ve added several new artist to my list as a result of this show.",5
Best Podcast,10/20/2018,Jessi Jamz,I jump w joy every time there is new episode. Listen and get into it!!!,5
So good! Never oversimplified but really enjoyable,10/23/2018,csssssv,Loved the PR episode and the recent episodes on adoptees. New voices. New topics like genetic testing. Fresh perspective.,5
Gene Demby's Voice Ruins It,10/24/2018,ray210,"I find it hard to listen to Demby's voice: a voice so garbled shouldn't be speaking at machine-gun place. Gene, we know you're smart, but slow it down. Your voice should do gravitas — not ""arch.""",2
I listen to several & this one is one of the best,10/28/2018,BethFWTX,Completely appreciate how open & honest (and genuine) this host is. Some of her self-disclosures surprise me but good for her for role-modeling (while she walks the walk). Interesting & challenging. Thanks!,5
Keep it up!,10/31/2018,Tsch621,I appreciate the realness/casual-self exposed and conversations that being had and then shared on air for others. Keep it up!,5
Doctoral seminar series on the toxicity of Whiteness,11/06/2018,chrisathorn,Critically important reporting that helps shine a light on the dark places in American society that need power washing. The range of topics points to the omnipresence of oppression. Keep up the great work.,5
Shout-out to Gene,11/06/2018,GNagesh,Great podcast especially Gene.,5
Politics podcast pop up,11/11/2018,igneous2x,"Thought the analyses were poorly done, superficial, not insightful—very disappointing. Issues such as those touched on in episode deserved better.",5
Great show,11/12/2018,dakarjp,Code switch tells stories that challenge and inspire!,5
Please listen,11/15/2018,relaxed grad,They have amazing range and this show will challenge your intellect and emotions. It’s very wide eye opening.,5
Disturbing,11/19/2018,Poppepin,Hateful,1
"Okay, but factually biased",11/29/2018,8ude,"Just listened to the episode about dogs. Lots of pro-pit bull propaganda, couched in criticism of white people.",3
Gene's Cadence is the Worst,11/30/2018,SDSSTL,"The cadence of Gene Denby's voice is EXTREMELY difficult to listen to. I'd love to know if this bothers other listeners as well. I don't know where Gene picked this up at, but he pauses at odd moments within sentences, and then speeds up the rest of the words and says them reallyreallyreally fast ALLATONCE. Is this a ""broadcast voice"" thing? Is it a thing he does to sound more knowledgable? Younger? Cooler? Aaah, please stop! I can't even handle it when he guest-hosts on other NPR podcasts (Pop Culture Happy Hour, for one).",2
A great listen,07/18/2018,pddoc2,"I really appreciate this podcast for the provocative and timely topics, thoughtfully analyzed and discussed. Thank you!",5
Perspective shift,07/18/2018,Jaskler 2006,HIGHLY recommend for everyone.,5
Love this team!,07/25/2018,Nebbish in the Negative Zone,Great rapport between the hosts and fascinating guests!,5
So relevant and interesting!,07/27/2018,Sarah Rose.,I LOVE this podcast. It’s always relevant and interesting and the hosts are great. NPR has the best podcasts.,5
Incredible discussions at the touch of a button,08/06/2018,RWine :),"I LOVE Code Switch!! As a Japanese-American from a rural town in Northern California, I did not begin having these discussions until I went to college two years ago. This podcast has enhanced my journey into learning about and discussing topics in identity and race. I can’t get enough of this team and the work they do. YOU ROCK!",5
Regular listener,08/06/2018,RosaCole,"Every week I learn about the experiences of folks who are not like me: that is very important to me and shapes how I move through the world. While there have been a few lackluster episodes, those are not the usual. I’ll keep listening as long as y’all keep putting them up! Thank you.",4
Love this podcast,08/10/2018,siestaqueen,"I'm a huge fan of the topics covered, the guests/experts, and most of all, the hosts, Gene and Shereen. I am so grateful for this podcast!",5
"Insightful, thoughtful, funny, heart-wrenching",08/10/2018,22on7,My only complaint is that the episodes don’t drop more often. Really great podcast where in-depth analysis from thoughtful people is the norm. Keep up the great work!,5
Try it and you see why I love it,08/12/2018,CoolioChicken,This is one of my core podcasts that I wait for every week. The nuance and the honesty and the sound of people of color talking about their experiences and real things that effect people is quite refreshing. This podcast tells people’s stories and gives them context and voices and legitimacy in a world that is content to stay deaf to them.,5
amazing,08/14/2018,musictycoon,keep the good fight and the good work friends,5
Connecting through difference,08/15/2018,QueerGal,"I am a news/podcast/learning junky. I’ve been listening to Code Switch since its first episode. I routinely learn new things, maybe about something I already knew, but from a different perspective that enriches my understanding. There is something amazing about how they talk about race, ethnicity, culture, etc., that creates connection.",5
"Interesting, intellectually stimulating & needed",08/16/2018,Lololovesskiing,"I've started to binge listen back through episodes even if the title doesn't seem interesting to me at first, I've found that episode will be regardless. I love the different angles and intense level of research they have put into this podcast. You're doing great work and my brain is happily stimulated.",5
Interesting,08/21/2018,Blacksunhc,"I find this podcast interesting, however I’d like to see more discussion of how different minorities live with each other successfully.",4
Black and Brown Liberation?,08/22/2018,Napican,"I was actually turned into a prison abolitionist, thanks to this podcast!

Or, at least hold these opinions now, and actively participate in prison solidarity work.",5
Love the examination,08/22/2018,jfhogan2,Ever-closer to helping us be less superficial. Myth-busting for the socio-linguistic realm.,5
Thought-provoking and well done,08/23/2018,SDlibn,"Very well done - high quality production, high quality investigative journalism, high quality storytelling. Every episode has made me think about the world a little differently. As a white parent of a child of color, this podcast is especially valuable to me as a way of helping me understand the ways in which my experience of the world is different than my child’s experience. Thank you, Code Switch Team.",5
Insightful,08/28/2018,12151990,This podcast has helped me become a better cultural citizen,5
Great show!,08/29/2018,sesily,Such a good show.,5
Great podcast,08/29/2018,pumpkinbirdy,Love Code Switch....thank you guys for all your hard work! (:,5
"Informative, accessible, interesting",08/29/2018,cbackman92,"I don’t even really consider myself a “podcast person” but I LOVE CODE SWITCH. They present really nuanced and always fascinating topics in ways that are easy to understand, providing context when necessary, and acknowledging the complexity of the issues at hand. Because of Code Switch, I feel like I understand my own country better.",5
Terrific!,05/04/2018,GracieJoy66,"As usual NPR puts out an excellent pod. I went back and listened to all episodes and it was so current and well produced,",5
I feel seen,05/08/2018,あれあれ君,And look forward para cada podcast that helps me learn how fellow communities are doing and how mine has been shaped: peep those episodios de “Hispanos”,5
Mix it up,05/09/2018,Mimi Ak.,"I can’t explain how happy I was when I found this podcast. It’s been a great oasis to retreat to and dwell more diverse American experiences, an experiences more like my own. I do have one hang up. The topics and guests seem to focus on the same general minority groups. I know the hosts’ personal stories and current events will in inevitably influence the stories, but can we mix up a bit? I’m sure there are stories from other less know minority groups that deserve the light. I may be biased, I’m Afro-Caribbean from a non-Latin country, but I thought Code Switch was about race and identity in general. It would be nice to hear about a wider range of indigenous, immigrant and diaspora experiences, and even more nuanced representation of the Black American experience. Otherwise keep up the great work!",4
Insightful and much needed discussions,05/09/2018,NurseSchrcaso,"This most recent episode is an awesome conversation about parenting! I feel like I need to send this to every parent I know, and to shout from the rooftops that these tough conversations can be had in a respectful and curious manner! Well done, Code Switch. Keep on being awesome.",5
Weekly CodeSwitch Fix,05/12/2018,MrsVIzquierdo,I love this podcast! A MUST listen to on a weekly basis. The podcast touches upon a variety of topics and issues brings ALL the voices to the table!,5
My favorite podcast,05/22/2018,lindsaylistens,"My only criticism of Code Switch is it’s TOO SHORT! I could listen to y’all forever and am constantly waiting for the next Tuesday episode to come out. Thanks for the insightful discussions that delve deep into challenging issues of race and society, but still leave room for humor and joy. Everyone should listen to this show!",5
Conquistadors and Pueblos,05/23/2018,Wren Black,I’m listening to this and crying. I am not an immigrant. I am not black. I am descended from the original culture of Northern New Mexico but I was raised in the east and have almost no connections to my culture. This episode is giving me life!,5
This episode is racially insensitive and condescending!,05/25/2018,lasergirlnm,"I have tries to listen to the episode “Of Bloodlines and Conquistadors”, and I was appalled at the racial insensitive and condescension of the two women who were chosen to narrate. Neither of them were respectful of the religious beliefs and traditions of the people interviewed. They laughed, expressed disbelief in certain aspects of the Fiesta de Santa Fe, and didn’t even try to pronounce some of the words correctly. This episode was not and is not worthy of your show and is a huge insult to the native peoples and to the Hispano of northern New Mexico.",1
Amazing,06/19/2018,Lalalalalalisha,"I love this podcast. Theyre so well informed, present multiple sides and different ethnic views. Sometimes im sad episodes are so short, but always very informative. I dont always have time to read so listening in the car is my go-to!",5
Love these topics,06/21/2018,Scuba Steph,I’m so passionate about these topics. Especially being black raised by white parents. I have predominately white friends/coworkers but I feel very different being black. I believe the world perceives me differently then the ones around me. This podcast has helped me see that the issues I think about are not just my own personal observations but true and legit situations. I don’t often feel as if I can speak freely about my opinions. This podcast offers affirmation and allows me to rant and stand on my soapbox in my car while I’m listening!!,5
Great perspective-providing show,06/29/2018,Erin79705,"I’m a professional white woman and I care a great deal about the people who make up this country—all the people. It hasn’t always been easy to find, to hear, and to understand the perspectives of folks from other places in the country, especially because I’m not living in a major urban area; but this podcast helps bridge the divide for me. I can’t help but hope that our collective futures are gonna be better because podcasts like this one make it easier to learn and to think about tough issues confronting us all. Stay woke!",5
Intelligent & informative take on race,07/01/2018,Spicy Bubbles,"I find this show to be a very eye-opening, and at times very moving, take on race. Gene and Shereen are great hosts and help to make the information presented accessible and relatable. The whole team is great, really. There is not a weak link amongst them.",5
Summer Vacatiin,07/04/2018,nevaskin,I really enjoy and learn from listening to your podcast. As an estitichian and concerned environmentalist I approve of recommending sunscreen. But not all sunscreens are alike. Please recommend sunscreens that are ecologically friendly and toxic free.This is really important for the health of our coral reefs and Sun screens that could be potentially be toxic to human skin.,5
Sunscreen Science:,07/05/2018,Chris Ht,UV-A affects all. (A for aging) UV-B affects the pale more. (B for burn) UV-C is for astronauts. Wear sunscreen! Viva la Raza.,5
I love the two hosts,07/06/2018,jlwerd,The voice are fun. The songs giving me life are awesome and the diversity in each show is godsend. I feel seen by listening to Sharem and Gene.,5
The problem in this country,07/10/2018,LionDing,"This is a PRIME example of the problems we have in this great country. Totally the wrong discussion. If you want to look backwards, rather than forward...this is the podcast for you",1
Important for all !!,07/12/2018,clairehubs,"As a white person, this podcast is so important to understanding the challenges minorities face, and I believe this understanding makes me much more empathetic to anyone’s hidden struggles. Thank you for this show, it’s one EVERYONE should hear at least once.",5
Thought provoking but often disappointing,07/13/2018,Opussama,"I've been listening to this podcast since it's inception and have learned a great deal. The show teaches details and true feelings of individuals who are usually not represented in mainstream society. But sometimes I feel like there's a hidden agenda and even a level of unprofessional bias. For example, the episode ""Members of whose tribe?"" took the very strong opinion of one person and used that to express a false and biased reality for all Jews. This was unprofessional journalism in my opinion and it was hurtful.",3
nprnerd4life,07/14/2018,nprnerd4life,This show makes me so happy. Just by listening I feel heard. Seen. Represented. Y'all are my people! Thank you!!,5
My Favorite Podcast,07/14/2018,CoB Pastor,...and it keeps getting better.,5
One of the best podcasts out!!,03/13/2018,Cupcake Villa,This is a podcast everyone should listen to. It's enlightening and informative in a way where it exposes different cultural and racial differences that needs to be explored. Love Shereen and Gene!!!!,5
SEQUENTIAL ORDER,03/18/2018,nessiesaurus,"The queue shows that I’m “All Caught Up” so I keep overlooking your show, it turns out I haven’t listened to even one of your episodes....",4
Brilliant,03/18/2018,ScannerQueen,"I’ve been meaning to listen and finally heard three episodes in one go. This is highest quality - the stories behind stories, going deeper, getting personal. This podcast is a necessity as I try to educate myself in the hidden realities all around me.",5
Good!,03/23/2018,Gotta choose a name not taken,I really appreciate the insights these folks bring to sensitive issues.,5
Code Switch Gives Me Miles,03/25/2018,Ganny21,"I’d caught a few stories on NPR, but as I was marathon training this year I ran so many miles to this podcast. Thank you for keeping me thinking through all those miles.",5
Week podcast favorite,03/28/2018,PoppaP of Bmore,"Weekly favorite, that never lets me down and continues to provide great content of this multifaceted and city",5
Intersectional,04/04/2018,consumerism,"One of the best podcasts out here. Very intersectional lens, which is important. I love that each episode is about 30 mins. A+",5
Interesting and thoughtful,04/04/2018,Angeline M.,I love the unique stories and perspectives! It can become so relatable and yet teach me new things. The Jones Act episode made my heart melt. 🇵🇷,5
Thanks for R-word,04/06/2018,ChanelStew,I love the pieces you all create. The R-word episode was perfect. Thank you for defining and separating the attempt to separate the character from the action.,5
Favorite,04/11/2018,Caillion7,"This is the podcast I always list first after people ask what I think the best ones are. It has amazing coverage, covers an immense variety of topics and consistently features wonderful reporting. The show offers so many in-depth insights, and it takes the time to thoroughly explore their topic.",5
"Thank you, Code Switch",04/15/2018,chinolombiana,"Voices and stories that need to be heard, contemplated, and considered by ALL Americans, whether similarly identifying or not. Great insight into our sociocultural contexts today and historically. Appreciative of the episodes that showed me other Americans share my experience and struggles, and extremely grateful for the educational opportunities to learn about the experiences of other Americans and to better understand their struggles.",5
Great!,04/16/2018,NotAnArchitect,"Lots of information, presented on a informational educative manner without being preachy or snobby. Hosts are entertaining, and offer a good depth into the various topics.",5
Great,04/17/2018,LoJo13,I love this podcast,5
Excellent podcast,04/18/2018,ashcat310,"Just listened to the podcast episode about Judaism- Excellent show, as always!",5
"Informative, thoughtful, and awesome.",04/18/2018,JDJ18,"Code Switch is something I refer to often in conversation these days. I have learned so much from listening. It is well researched, engaging, and they have great guests. I especially loved the episodes about the high school.",5
I love this podcast,04/19/2018,axelgreaser,"And you, the geniuses behind it. Thank you for keeping me aware of my own isms and biases. I’m constantly surprised and delighted and often enraged...but in a good way! ✌️ Thank you for all you do. Xx",5
POC friends when I need validation,04/24/2018,sarmassa,I’ve learned so much from listening to this podcast from all kinds of subjects. Gene and Shereen gave me the words to describe uncomfortable circumstances and I love how real the conversations can get. I genuinely appreciate the content and G&S’s style,5
One of the most important podcasts today,04/25/2018,mikeyil,"Easily one of the most important podcasts in today's era, telling important stories from a wide range of marginalized people. This is my favorite podcast.",5
Superb,04/27/2018,Amigo123,"As a 50-something white man, I am so impressed with this show. Their thoughtful, honest and compassionate look at race and ethnicity is inspiring.",5
Love Code Switch,04/29/2018,ShayTiv,I love this show. They aren't afraid to tackle the hard questions. Keep up the great work!,5
Truly informative,02/20/2018,Justice Seeker 27,"This is a tremendous show for anyone interested in social commentary and social justice. Gene and Shereen are both excellent correspondents. I love hearing the scholars and experts that they have on the show. And they are very responsive to their listeners. Plus, they have fun so we do too!",5
Good show but correction...,02/21/2018,TMT-DC,"SCLC was the Southern Christian Leadership Conference, not convention",4
Such a good podcast,02/22/2018,McLawllen,You all never let down. The episodes are always so thoughtful and thought provoking; really substantive and informative. It’s like my university ethnic studies class mixed with politics and current issues. Thank you all!,5
Great!!,02/25/2018,amanda a-r,I look forward to hearing your podcast because I learn new perspectives and it gets me thinking. Thank you!,5
Excellent,02/26/2018,SJames1981,"Love Gene, love Kat, love the podcast.",5
Love,02/27/2018,Ali Kras,"The only problem I have is... I want more episodes!
Thoughtful, compassionate, current.
So well done ❤️",5
"No, don’t change a thing.",02/27/2018,Ally Means,"Stay exactly the way you are I get plenty of CONservative voices on every other media I listen to. I add emphasis on the “con” because the current voices and leaders that are CONservative are con artists, they preach nothing of their original values and I’d rather not hear that on this podcast. Don’t change a thing.",5
I love to Code Switch,02/28/2018,Filocamarao,"Thanks to all the Code Switch team for giving me a weekly story that I already know it is going to be so good, journalistically accurate and cultural immensely relevant. Love ya",5
Code Switch,02/28/2018,TobeyTTT,"A splendid podcast telling stories not told enough. Often find that way into a story that truly makes it accessible. For some, poscast is an affirmation - for others provides new insights. A lot of value added for each.",5
Mandatory,03/01/2018,hopewhit12345,This podcast is amazing and should be required for all white people. Would heal our nation. 🙁,5
My favorite Podcast!,03/02/2018,Kwillamarie,"I love the topics covered in this podcast. Also, the perspectives are refreshing and encouraging. Thanks code switch team for all your hard work on producing an awesome podcast!!",5
A must listen,03/02/2018,iamrevty,"Current, relevant, insightful.
Masterfully done.
I thoroughly enjoy Code Switch.",5
Necessary,03/04/2018,Kappy1964,"This podcast is essential listening. It is informative, searing, uplifting, thoughtful. The stories bring to life the nature of race in our country, reinterpreting history by decentering whiteness. Love it.",5
"Highly, highly recommended",03/04/2018,Eighty05,I’ve been recommending this podcast to everyone. “Throw some respeck on my name” is a great starting point if you’re new to the show.,5
Making Sense of a Challenging World,03/05/2018,mightyatom,"Code Switch is essential listening for anyone seeking to understand and navigate the complex issues of race that we all — ragardless of race or ethncity — encounter daily. It's thoughtful, smart, accessible, never preachy. It's helped provide clarity when I'm grappling with something, and insight into how behaviors, actions, and culture affect others.",5
Favorite Podcast,03/06/2018,Heidie A,"I love this podcast for its ability to be informative on topics/specific subject matter that is often overlooked by our pop culture. It's relevant, insightful, and extremely well researched. Such amazing production; the entire team clearly puts a ton of work into every episode, from the initial concept down to the editing. My mindsets have so often been challenged in the questions they bring up and the dialogue is succinct but incredibly in depth. I cannot emphasize enough how grateful I am for how this show has opened my mind-I start way too many sentences with, ""I was listening to this podcast the other day..."" followed by what I've been processing from Codeswitch. Keep up the fantastic work!",5
Great pod with all the feels and good info too,03/06/2018,lucindalynn,Fan since the beginning. Doing great work. Just heard the story of Miriam and her family. Well done. Thank you.,5
Code Switch,03/08/2018,38kinz38,"This is a wonderful podcast, with a wide range of topics and compelling stories. I appreciate very much the varied perspectives of the hosts and their colleagues.",5
